"Group","Freq","N","SurveyName","Country","StartYear"
"Infecund, Menopausal",0.185235458731097,5952,"NGIR7AFL.DTA","Nigeria",2018
"Married, Does Not Want Child within 2 Years",0.303170982407173,9179,"NGIR7AFL.DTA","Nigeria",2018
"Married, Wants Child within 2 Years",0.2047046041358,6111,"NGIR7AFL.DTA","Nigeria",2018
"Not Married, Not Sexually Active",0.280389895597336,8608,"NGIR7AFL.DTA","Nigeria",2018
"Not Married, Sexually Active",0.0264990591285947,931,"NGIR7AFL.DTA","Nigeria",2018
"Infecund, Menopausal",0.291541789185011,2460,"PKIR71FL.DTA","Pakistan",2017
"Married, Does Not Want Child within 2 Years",0.382467804908361,3462,"PKIR71FL.DTA","Pakistan",2017
"Married, Wants Child within 2 Years",0.26419592668865,2054,"PKIR71FL.DTA","Pakistan",2017
"Not Married, Sexually Active",0.0617944792179784,459,"PKIR71FL.DTA","Pakistan",2017
"Infecund, Menopausal",0.152342972586595,1281,"PHIR61FL.DTA","Philippines",2013
"Married, Does Not Want Child within 2 Years",0.127377115186603,1147,"PHIR61FL.DTA","Philippines",2013
"Married, Wants Child within 2 Years",0.0369792500909311,325,"PHIR61FL.DTA","Philippines",2013
"Not Married, Not Sexually Active",0.666284915410278,5378,"PHIR61FL.DTA","Philippines",2013
"Not Married, Sexually Active",0.0170157467255931,139,"PHIR61FL.DTA","Philippines",2013
"Infecund, Menopausal",0.188503485148437,2959,"PHIR81FL.DTA","Philippines",2022
"Married, Does Not Want Child within 2 Years",0.083440917799867,1497,"PHIR81FL.DTA","Philippines",2022
"Married, Wants Child within 2 Years",0.0330852371807827,508,"PHIR81FL.DTA","Philippines",2022
"Not Married, Not Sexually Active",0.676250184936764,10629,"PHIR81FL.DTA","Philippines",2022
"Not Married, Sexually Active",0.0187201749341497,243,"PHIR81FL.DTA","Philippines",2022
"Infecund, Menopausal",0.201783183403231,1706,"RWIR61FL.DTA","Rwanda",2010
"Married, Does Not Want Child within 2 Years",0.187187909789756,1543,"RWIR61FL.DTA","Rwanda",2010
"Married, Wants Child within 2 Years",0.0247593025263653,211,"RWIR61FL.DTA","Rwanda",2010
"Not Married, Not Sexually Active",0.574242245716594,4962,"RWIR61FL.DTA","Rwanda",2010
"Not Married, Sexually Active",0.0120273585640534,104,"RWIR61FL.DTA","Rwanda",2010
"Infecund, Menopausal",0.122544126977856,875,"RWIR70FL.DTA","Rwanda",2014
"Married, Does Not Want Child within 2 Years",0.145989993343331,1041,"RWIR70FL.DTA","Rwanda",2014
"Married, Wants Child within 2 Years",0.0224468284840913,172,"RWIR70FL.DTA","Rwanda",2014
"Not Married, Not Sexually Active",0.653270239947612,4834,"RWIR70FL.DTA","Rwanda",2014
"Not Married, Sexually Active",0.0557488112471103,411,"RWIR70FL.DTA","Rwanda",2014
"Infecund, Menopausal",0.149547331899883,1023,"RWIR81FL.DTA","Rwanda",2019
"Married, Does Not Want Child within 2 Years",0.0874150300505244,583,"RWIR81FL.DTA","Rwanda",2019
"Married, Wants Child within 2 Years",0.0254242744068138,169,"RWIR81FL.DTA","Rwanda",2019
"Not Married, Not Sexually Active",0.696117229509479,4849,"RWIR81FL.DTA","Rwanda",2019
"Not Married, Sexually Active",0.0414961341332996,273,"RWIR81FL.DTA","Rwanda",2019
"Infecund, Menopausal",0.17727786548022,2210,"SNIR61FL.DTA","Senegal",2010
"Married, Does Not Want Child within 2 Years",0.322510733983022,4401,"SNIR61FL.DTA","Senegal",2010
"Married, Wants Child within 2 Years",0.142040664535666,1960,"SNIR61FL.DTA","Senegal",2010
"Not Married, Not Sexually Active",0.34299176460703,3798,"SNIR61FL.DTA","Senegal",2010
"Not Married, Sexually Active",0.0151789713940607,184,"SNIR61FL.DTA","Senegal",2010
"Infecund, Menopausal",0.129551529740549,872,"SNIR6DFL.DTA","Senegal",2012
"Married, Does Not Want Child within 2 Years",0.347794602278477,2507,"SNIR6DFL.DTA","Senegal",2012
"Married, Wants Child within 2 Years",0.110821098590173,804,"SNIR6DFL.DTA","Senegal",2012
"Not Married, Not Sexually Active",0.401673736661509,2365,"SNIR6DFL.DTA","Senegal",2012
"Not Married, Sexually Active",0.0101590327292916,81,"SNIR6DFL.DTA","Senegal",2012
"Infecund, Menopausal",0.165214806704051,985,"SNIR70FL.DTA","Senegal",2014
"Married, Does Not Want Child within 2 Years",0.305960558254471,2240,"SNIR70FL.DTA","Senegal",2014
"Married, Wants Child within 2 Years",0.109951371151253,778,"SNIR70FL.DTA","Senegal",2014
"Not Married, Not Sexually Active",0.403490047903707,2088,"SNIR70FL.DTA","Senegal",2014
"Not Married, Sexually Active",0.0153832159865171,92,"SNIR70FL.DTA","Senegal",2014
"Infecund, Menopausal",0.129810700732148,817,"SNIR7HFL.DTA","Senegal",2015
"Married, Does Not Want Child within 2 Years",0.318105156378211,2301,"SNIR7HFL.DTA","Senegal",2015
"Married, Wants Child within 2 Years",0.117369356138244,856,"SNIR7HFL.DTA","Senegal",2015
"Not Married, Not Sexually Active",0.422989728479554,2320,"SNIR7HFL.DTA","Senegal",2015
"Not Married, Sexually Active",0.0117250582718434,84,"SNIR7HFL.DTA","Senegal",2015
"Infecund, Menopausal",0.136035275654487,883,"SNIR7QFL.DTA","Senegal",2016
"Married, Does Not Want Child within 2 Years",0.295370199818609,2079,"SNIR7QFL.DTA","Senegal",2016
"Married, Wants Child within 2 Years",0.130447955672256,915,"SNIR7QFL.DTA","Senegal",2016
"Not Married, Not Sexually Active",0.4307232176526,2267,"SNIR7QFL.DTA","Senegal",2016
"Not Married, Sexually Active",0.00742335120204816,65,"SNIR7QFL.DTA","Senegal",2016
"Infecund, Menopausal",0.135350973254281,1544,"SNIR7ZFL.DTA","Senegal",2017
"Married, Does Not Want Child within 2 Years",0.273625587324295,3424,"SNIR7ZFL.DTA","Senegal",2017
"Married, Wants Child within 2 Years",0.126387065607511,1529,"SNIR7ZFL.DTA","Senegal",2017
"Not Married, Not Sexually Active",0.45218111705999,4435,"SNIR7ZFL.DTA","Senegal",2017
"Not Married, Sexually Active",0.0124552567539221,165,"SNIR7ZFL.DTA","Senegal",2017
"Infecund, Menopausal",0.142018019135433,874,"SNIR80FL.DTA","Senegal",2018
"Married, Does Not Want Child within 2 Years",0.258620937191078,1900,"SNIR80FL.DTA","Senegal",2018
"Married, Wants Child within 2 Years",0.124568655170349,887,"SNIR80FL.DTA","Senegal",2018
"Not Married, Not Sexually Active",0.462216105338145,2503,"SNIR80FL.DTA","Senegal",2018
"Not Married, Sexually Active",0.0125762831649957,87,"SNIR80FL.DTA","Senegal",2018
"Infecund, Menopausal",0.120966177022192,744,"SNIR8AFL.DTA","Senegal",2019
"Married, Does Not Want Child within 2 Years",0.286947857766938,1804,"SNIR8AFL.DTA","Senegal",2019
"Married, Wants Child within 2 Years",0.125279745818882,833,"SNIR8AFL.DTA","Senegal",2019
"Not Married, Not Sexually Active",0.45847929759328,2306,"SNIR8AFL.DTA","Senegal",2019
"Not Married, Sexually Active",0.00832692179870812,52,"SNIR8AFL.DTA","Senegal",2019
"Infecund, Menopausal",0.230793460528245,2586,"SLIR61FL.DTA","Sierra Leone",2013
"Married, Does Not Want Child within 2 Years",0.369452795771611,4033,"SLIR61FL.DTA","Sierra Leone",2013
"Married, Wants Child within 2 Years",0.123438036076676,1340,"SLIR61FL.DTA","Sierra Leone",2013
"Not Married, Not Sexually Active",0.193065934562093,2190,"SLIR61FL.DTA","Sierra Leone",2013
"Not Married, Sexually Active",0.0832497730613742,936,"SLIR61FL.DTA","Sierra Leone",2013
"Infecund, Menopausal",0.260611676341341,2457,"SLIR7AFL.DTA","Sierra Leone",2019
"Married, Does Not Want Child within 2 Years",0.274832840470166,2630,"SLIR7AFL.DTA","Sierra Leone",2019
"Married, Wants Child within 2 Years",0.121144297036146,1166,"SLIR7AFL.DTA","Sierra Leone",2019
"Not Married, Not Sexually Active",0.250296328402479,2256,"SLIR7AFL.DTA","Sierra Leone",2019
"Not Married, Sexually Active",0.0931148577498681,802,"SLIR7AFL.DTA","Sierra Leone",2019
"Infecund, Menopausal",0.229171210306744,671,"ZAIR71FL.DTA","South Africa",2016
"Married, Does Not Want Child within 2 Years",0.0651671176095682,185,"ZAIR71FL.DTA","South Africa",2016
"Married, Wants Child within 2 Years",0.0393563486594971,97,"ZAIR71FL.DTA","South Africa",2016
"Not Married, Not Sexually Active",0.534472863725561,1567,"ZAIR71FL.DTA","South Africa",2016
"Not Married, Sexually Active",0.13183245969863,403,"ZAIR71FL.DTA","South Africa",2016
"Infecund, Menopausal",0.20183762738716,1449,"TJIR61FL.DTA","Tajikistan",2012
"Married, Does Not Want Child within 2 Years",0.271590943622454,1843,"TJIR61FL.DTA","Tajikistan",2012
"Married, Wants Child within 2 Years",0.112200639487522,702,"TJIR61FL.DTA","Tajikistan",2012
"Not Married, Not Sexually Active",0.413212663700048,3008,"TJIR61FL.DTA","Tajikistan",2012
"Not Married, Sexually Active",0.00115812580281529,10,"TJIR61FL.DTA","Tajikistan",2012
"Infecund, Menopausal",0.232628782985327,1732,"TJIR71FL.DTA","Tajikistan",2017
"Married, Does Not Want Child within 2 Years",0.252051779996617,1755,"TJIR71FL.DTA","Tajikistan",2017
"Married, Wants Child within 2 Years",0.139292762627153,936,"TJIR71FL.DTA","Tajikistan",2017
"Not Married, Not Sexually Active",0.373880068614786,2891,"TJIR71FL.DTA","Tajikistan",2017
"Not Married, Sexually Active",0.00214660577611731,14,"TJIR71FL.DTA","Tajikistan",2017
"Infecund, Menopausal",0.156068393119907,1029,"TZIR7BFL.DTA","Tanzania",2015
"Married, Does Not Want Child within 2 Years",0.291287014588654,1977,"TZIR7BFL.DTA","Tanzania",2015
"Married, Wants Child within 2 Years",0.100112095726378,691,"TZIR7BFL.DTA","Tanzania",2015
"Not Married, Not Sexually Active",0.372664041205491,2659,"TZIR7BFL.DTA","Tanzania",2015
"Not Married, Sexually Active",0.0798684553595695,452,"TZIR7BFL.DTA","Tanzania",2015
"Infecund, Menopausal",0.186639321333475,1428,"TZIR82FL.DTA","Tanzania",2022
"Married, Does Not Want Child within 2 Years",0.256641868066613,2040,"TZIR82FL.DTA","Tanzania",2022
"Married, Wants Child within 2 Years",0.0949132129102,764,"TZIR82FL.DTA","Tanzania",2022
"Not Married, Not Sexually Active",0.378728505294265,3296,"TZIR82FL.DTA","Tanzania",2022
"Not Married, Sexually Active",0.0830770923954482,584,"TZIR82FL.DTA","Tanzania",2022
"Infecund, Menopausal",0.242363061914055,2390,"TLIR71FL.DTA","Timor-Leste",2016
"Married, Does Not Want Child within 2 Years",0.251095034873678,2341,"TLIR71FL.DTA","Timor-Leste",2016
"Married, Wants Child within 2 Years",0.0605216232871903,617,"TLIR71FL.DTA","Timor-Leste",2016
"Not Married, Not Sexually Active",0.441204927333863,4344,"TLIR71FL.DTA","Timor-Leste",2016
"Not Married, Sexually Active",0.00481535259121349,47,"TLIR71FL.DTA","Timor-Leste",2016
"Infecund, Menopausal",0.193416291726576,1227,"TGIR61FL.DTA","Togo",2013
"Married, Does Not Want Child within 2 Years",0.395849936941766,2613,"TGIR61FL.DTA","Togo",2013
"Married, Wants Child within 2 Years",0.0703993850082369,461,"TGIR61FL.DTA","Togo",2013
"Not Married, Not Sexually Active",0.283734521125708,1686,"TGIR61FL.DTA","Togo",2013
"Not Married, Sexually Active",0.0565998651977129,364,"TGIR61FL.DTA","Togo",2013
"Infecund, Menopausal",0.0733558665823102,275,"TRIR61FL.DTA","Turkey",2013
"Married, Does Not Want Child within 2 Years",0.0491323960731919,204,"TRIR61FL.DTA","Turkey",2013
"Married, Wants Child within 2 Years",0.0100493151639098,45,"TRIR61FL.DTA","Turkey",2013
"Not Married, Not Sexually Active",0.0119585693444678,46,"TRIR61FL.DTA","Turkey",2013
"Not Married, Sexually Active",0.85550385283612,2514,"TRIR61FL.DTA","Turkey",2013
"Infecund, Menopausal",0.182882911201227,863,"UGIR60FL.DTA","Uganda",2011
"Married, Does Not Want Child within 2 Years",0.356849068128094,1699,"UGIR60FL.DTA","Uganda",2011
"Married, Wants Child within 2 Years",0.0645000387854467,369,"UGIR60FL.DTA","Uganda",2011
"Not Married, Not Sexually Active",0.383036242276303,1838,"UGIR60FL.DTA","Uganda",2011
"Not Married, Sexually Active",0.0127317396089299,59,"UGIR60FL.DTA","Uganda",2011
"Infecund, Menopausal",0.142396380255111,1217,"UGIR7BFL.DTA","Uganda",2016
"Married, Does Not Want Child within 2 Years",0.275953129344236,2348,"UGIR7BFL.DTA","Uganda",2016
"Married, Wants Child within 2 Years",0.0618025856090456,551,"UGIR7BFL.DTA","Uganda",2016
"Not Married, Not Sexually Active",0.459915186184951,3588,"UGIR7BFL.DTA","Uganda",2016
"Not Married, Sexually Active",0.0599327186066554,502,"UGIR7BFL.DTA","Uganda",2016
"Infecund, Menopausal",0.141232828262512,1032,"ZMIR61FL.DTA","Zambia",2013
"Married, Does Not Want Child within 2 Years",0.21859992362174,1624,"ZMIR61FL.DTA","Zambia",2013
"Married, Wants Child within 2 Years",0.0489002567647291,354,"ZMIR61FL.DTA","Zambia",2013
"Not Married, Not Sexually Active",0.489642787305996,3568,"ZMIR61FL.DTA","Zambia",2013
"Not Married, Sexually Active",0.101624204045023,817,"ZMIR61FL.DTA","Zambia",2013
"Infecund, Menopausal",0.148833173732393,834,"ZMIR71FL.DTA","Zambia",2018
"Married, Does Not Want Child within 2 Years",0.164542047336764,958,"ZMIR71FL.DTA","Zambia",2018
"Married, Wants Child within 2 Years",0.0470927372750378,269,"ZMIR71FL.DTA","Zambia",2018
"Not Married, Not Sexually Active",0.533155683693017,2975,"ZMIR71FL.DTA","Zambia",2018
"Not Married, Sexually Active",0.106376357962788,626,"ZMIR71FL.DTA","Zambia",2018
"Infecund, Menopausal",0.232091934653137,777,"ZWIR62FL.DTA","Zimbabwe",2010
"Married, Does Not Want Child within 2 Years",0.12968195462361,396,"ZWIR62FL.DTA","Zimbabwe",2010
"Married, Wants Child within 2 Years",0.0687837346260335,215,"ZWIR62FL.DTA","Zimbabwe",2010
"Not Married, Not Sexually Active",0.536304079157532,1783,"ZWIR62FL.DTA","Zimbabwe",2010
"Not Married, Sexually Active",0.0331382969396884,138,"ZWIR62FL.DTA","Zimbabwe",2010
"Infecund, Menopausal",0.148010563493709,469,"ZWIR71FL.DTA","Zimbabwe",2015
"Married, Does Not Want Child within 2 Years",0.10016195933681,293,"ZWIR71FL.DTA","Zimbabwe",2015
"Married, Wants Child within 2 Years",0.0695104518760459,191,"ZWIR71FL.DTA","Zimbabwe",2015
"Not Married, Not Sexually Active",0.652395612247843,2075,"ZWIR71FL.DTA","Zimbabwe",2015
"Not Married, Sexually Active",0.0299214130455928,103,"ZWIR71FL.DTA","Zimbabwe",2015
