Group,Freq,N,SurveyName,Country,StartYear
"Married, Does Not Want Child within 2 Years",0.512144432,1342,SLIR7AFL.DTA,Sierra Leone,2019
"Married, Wants Child within 2 Years",0.180101653,469,SLIR7AFL.DTA,Sierra Leone,2019
"Not Married, Not Sexually Active",0.108344046,280,SLIR7AFL.DTA,Sierra Leone,2019
"Not Married, Sexually Active",0.12927913,302,SLIR7AFL.DTA,Sierra Leone,2019
"Infecund, Menopausal",0.076390404,129,SLIR61FL.DTA,Sierra Leone,2013
"Married, Does Not Want Child within 2 Years",0.530799978,943,SLIR61FL.DTA,Sierra Leone,2013
"Married, Wants Child within 2 Years",0.161458402,293,SLIR61FL.DTA,Sierra Leone,2013
"Not Married, Not Sexually Active",0.117756069,190,SLIR61FL.DTA,Sierra Leone,2013
"Not Married, Sexually Active",0.113595147,233,SLIR61FL.DTA,Sierra Leone,2013
"Infecund, Menopausal",0.128100265,215,ZAIR71FL.DTA,South Africa,2016
"Married, Does Not Want Child within 2 Years",0.230805298,322,ZAIR71FL.DTA,South Africa,2016
"Married, Wants Child within 2 Years",0.121329654,178,ZAIR71FL.DTA,South Africa,2016
"Not Married, Not Sexually Active",0.277854793,459,ZAIR71FL.DTA,South Africa,2016
"Not Married, Sexually Active",0.241909991,392,ZAIR71FL.DTA,South Africa,2016
"Infecund, Menopausal",0.167310569,205,TJIR71FL.DTA,Tajikistan,2017
"Married, Does Not Want Child within 2 Years",0.703172686,773,TJIR71FL.DTA,Tajikistan,2017
"Married, Wants Child within 2 Years",0.091626929,120,TJIR71FL.DTA,Tajikistan,2017
"Not Married, Not Sexually Active",0.037746375,59,TJIR71FL.DTA,Tajikistan,2017
"Not Married, Sexually Active",0.000143441,1,TJIR71FL.DTA,Tajikistan,2017
"Infecund, Menopausal",0.148470851,124,TJIR61FL.DTA,Tajikistan,2012
"Married, Does Not Want Child within 2 Years",0.713531009,543,TJIR61FL.DTA,Tajikistan,2012
"Married, Wants Child within 2 Years",0.086532098,67,TJIR61FL.DTA,Tajikistan,2012
"Not Married, Not Sexually Active",0.047662333,48,TJIR61FL.DTA,Tajikistan,2012
"Not Married, Sexually Active",0.003803709,3,TJIR61FL.DTA,Tajikistan,2012
"Infecund, Menopausal",0.073589871,189,TZIR7BFL.DTA,Tanzania,2015
"Married, Does Not Want Child within 2 Years",0.488970497,1289,TZIR7BFL.DTA,Tanzania,2015
"Married, Wants Child within 2 Years",0.18259751,478,TZIR7BFL.DTA,Tanzania,2015
"Not Married, Not Sexually Active",0.154361899,390,TZIR7BFL.DTA,Tanzania,2015
"Not Married, Sexually Active",0.100480222,254,TZIR7BFL.DTA,Tanzania,2015
"Infecund, Menopausal",0.127699187,110,TLIR71FL.DTA,Timor-Leste,2016
"Married, Does Not Want Child within 2 Years",0.704691557,607,TLIR71FL.DTA,Timor-Leste,2016
"Married, Wants Child within 2 Years",0.150806705,149,TLIR71FL.DTA,Timor-Leste,2016
"Not Married, Not Sexually Active",0.014438745,21,TLIR71FL.DTA,Timor-Leste,2016
"Not Married, Sexually Active",0.002363807,4,TLIR71FL.DTA,Timor-Leste,2016
"Infecund, Menopausal",0.075780925,95,TGIR61FL.DTA,Togo,2013
"Married, Does Not Want Child within 2 Years",0.581387097,758,TGIR61FL.DTA,Togo,2013
"Married, Wants Child within 2 Years",0.153338959,201,TGIR61FL.DTA,Togo,2013
"Not Married, Not Sexually Active",0.123852595,155,TGIR61FL.DTA,Togo,2013
"Not Married, Sexually Active",0.065640425,83,TGIR61FL.DTA,Togo,2013
"Infecund, Menopausal",0.315186047,398,TRIR61FL.DTA,Turkey,2013
"Married, Does Not Want Child within 2 Years",0.464019186,657,TRIR61FL.DTA,Turkey,2013
"Married, Wants Child within 2 Years",0.034272118,55,TRIR61FL.DTA,Turkey,2013
"Not Married, Not Sexually Active",0.175081383,206,TRIR61FL.DTA,Turkey,2013
"Not Married, Sexually Active",0.011441265,8,TRIR61FL.DTA,Turkey,2013
"Infecund, Menopausal",0.064055593,289,UGIR7BFL.DTA,Uganda,2016
"Married, Does Not Want Child within 2 Years",0.55180235,2758,UGIR7BFL.DTA,Uganda,2016
"Married, Wants Child within 2 Years",0.097955188,483,UGIR7BFL.DTA,Uganda,2016
"Not Married, Not Sexually Active",0.199607634,927,UGIR7BFL.DTA,Uganda,2016
"Not Married, Sexually Active",0.086579236,425,UGIR7BFL.DTA,Uganda,2016
"Infecund, Menopausal",0.053590754,94,UGIR60FL.DTA,Uganda,2011
"Married, Does Not Want Child within 2 Years",0.582804264,1048,UGIR60FL.DTA,Uganda,2011
"Married, Wants Child within 2 Years",0.093121915,173,UGIR60FL.DTA,Uganda,2011
"Not Married, Not Sexually Active",0.233541484,466,UGIR60FL.DTA,Uganda,2011
"Not Married, Sexually Active",0.036941583,72,UGIR60FL.DTA,Uganda,2011
"Infecund, Menopausal",0.079045392,266,ZMIR71FL.DTA,Zambia,2018
"Married, Does Not Want Child within 2 Years",0.46797673,1486,ZMIR71FL.DTA,Zambia,2018
"Married, Wants Child within 2 Years",0.129646172,412,ZMIR71FL.DTA,Zambia,2018
"Not Married, Not Sexually Active",0.215468092,704,ZMIR71FL.DTA,Zambia,2018
"Not Married, Sexually Active",0.107863614,339,ZMIR71FL.DTA,Zambia,2018
"Infecund, Menopausal",0.065735727,221,ZMIR61FL.DTA,Zambia,2013
"Married, Does Not Want Child within 2 Years",0.563205525,1827,ZMIR61FL.DTA,Zambia,2013
"Married, Wants Child within 2 Years",0.104717758,357,ZMIR61FL.DTA,Zambia,2013
"Not Married, Not Sexually Active",0.18826833,670,ZMIR61FL.DTA,Zambia,2013
"Not Married, Sexually Active",0.078072659,277,ZMIR61FL.DTA,Zambia,2013
"Infecund, Menopausal",0.092063674,188,ZWIR71FL.DTA,Zimbabwe,2015
"Married, Does Not Want Child within 2 Years",0.430493616,811,ZWIR71FL.DTA,Zimbabwe,2015
"Married, Wants Child within 2 Years",0.165722719,314,ZWIR71FL.DTA,Zimbabwe,2015
"Not Married, Not Sexually Active",0.245480685,491,ZWIR71FL.DTA,Zimbabwe,2015
"Not Married, Sexually Active",0.066239305,151,ZWIR71FL.DTA,Zimbabwe,2015
"Infecund, Menopausal",0.095459324,203,ZWIR62FL.DTA,Zimbabwe,2010
"Married, Does Not Want Child within 2 Years",0.474098406,969,ZWIR62FL.DTA,Zimbabwe,2010
"Married, Wants Child within 2 Years",0.15024912,293,ZWIR62FL.DTA,Zimbabwe,2010
"Not Married, Not Sexually Active",0.220248911,484,ZWIR62FL.DTA,Zimbabwe,2010
"Not Married, Sexually Active",0.059944238,130,ZWIR62FL.DTA,Zimbabwe,2010
"Infecund, Menopausal",0.066913726,197,CDIR61FL.DTA,Congo Democratic Republic,2013
"Married, Does Not Want Child within 2 Years",0.568237325,1433,CDIR61FL.DTA,Congo Democratic Republic,2013
"Married, Wants Child within 2 Years",0.125619553,306,CDIR61FL.DTA,Congo Democratic Republic,2013
"Not Married, Not Sexually Active",0.151103637,327,CDIR61FL.DTA,Congo Democratic Republic,2013
"Not Married, Sexually Active",0.08812576,220,CDIR61FL.DTA,Congo Democratic Republic,2013
"Infecund, Menopausal",0.060001857,93,CIIR62FL.DTA,Cote d'Ivoire,2011
"Married, Does Not Want Child within 2 Years",0.466097124,801,CIIR62FL.DTA,Cote d'Ivoire,2011
"Married, Wants Child within 2 Years",0.168188016,281,CIIR62FL.DTA,Cote d'Ivoire,2011
"Not Married, Not Sexually Active",0.162948687,264,CIIR62FL.DTA,Cote d'Ivoire,2011
"Not Married, Sexually Active",0.142764316,236,CIIR62FL.DTA,Cote d'Ivoire,2011
"Infecund, Menopausal",0.066198192,150,CMIR71FL.DTA,Cameroon,2018
"Married, Does Not Want Child within 2 Years",0.394328375,881,CMIR71FL.DTA,Cameroon,2018
"Married, Wants Child within 2 Years",0.191594145,389,CMIR71FL.DTA,Cameroon,2018
"Not Married, Not Sexually Active",0.17485392,379,CMIR71FL.DTA,Cameroon,2018
"Not Married, Sexually Active",0.173025369,400,CMIR71FL.DTA,Cameroon,2018
